,Bins,Counts
0,0.0,283631.0
1,5.0,4193850.0
2,10.0,9718557.0
3,15.0,31439880.0
4,20.0,21275588.0
5,25.0,11384372.0
6,30.0,2686892.0
7,35.0,927773.0
8,40.0,188714.0
9,45.0,64980.0
10,50.0,8586.0
11,55.0,846.0
12,60.0,872.0
13,65.0,0.0
14,70.0,0.0
15,75.0,0.0
16,80.0,0.0
17,85.0,0.0
18,90.0,0.0
19,95.0,0.0
20,100.0,0.0
